,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL1043,-3.66901360678,8.86944557924,True,True,2013.0,"year: 2013, median Ki: 183.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1076583,13.7818358047,-20.9240850088,True,False,2009.0,"year: 2009, median Ki: 13.0, median IC50: N/A, median EC50: 82.0, median AC50: N/A"
CHEMBL1076665,13.4063671348,-21.1004317816,True,False,2009.0,"year: 2009, median Ki: 5.0, median IC50: N/A, median EC50: 60.0, median AC50: N/A"
CHEMBL1076684,10.8108221249,-15.8249326753,True,False,2009.0,"year: 2009, median Ki: 3.5, median IC50: N/A, median EC50: 398.0, median AC50: N/A"
CHEMBL1076687,13.5294464171,-20.3516893954,True,False,2009.0,"year: 2009, median Ki: 15.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1078207,-2.6182072916,-9.31007365125,True,False,2009.0,"year: 2009, median Ki: 125.89, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1078208,-2.67427289067,-10.6395372302,True,False,2009.0,"year: 2009, median Ki: 199.53, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1078491,-2.39532392646,-10.6864834533,True,False,2009.0,"year: 2009, median Ki: 15.85, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1078492,-2.28463609152,-10.623142464,True,False,2009.0,"year: 2009, median Ki: 158.49, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1078595,-2.23870866467,-10.5434099245,True,False,2009.0,"year: 2009, median Ki: 630.96, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1079311,-1.70424167606,-11.5396983618,True,False,2009.0,"year: 2009, median Ki: 6.31, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1079976,11.8019435874,-17.6865883133,True,False,2009.0,"year: 2009, median Ki: 7.1, median IC50: 107.0, median EC50: N/A, median AC50: N/A"
CHEMBL1079977,14.9941299993,-24.1595447079,True,False,2009.0,"year: 2009, median Ki: 5.6, median IC50: N/A, median EC50: 592.0, median AC50: N/A"
CHEMBL1079978,7.44433484037,-15.9272642662,True,False,2009.0,"year: 2009, median Ki: 113.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1080316,12.3817481585,-18.8419883663,True,False,2009.0,"year: 2009, median Ki: 4.7, median IC50: N/A, median EC50: 68.0, median AC50: N/A"
CHEMBL1080331,14.1218282451,-18.9272341383,True,False,2009.0,"year: 2009, median Ki: 18.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1080380,14.9465348529,-22.4122137905,True,False,2009.0,"year: 2009, median Ki: 23.3, median IC50: 107.0, median EC50: N/A, median AC50: N/A"
CHEMBL1080381,8.84167511802,-14.6124360183,True,False,2009.0,"year: 2009, median Ki: 6.0, median IC50: 60.0, median EC50: N/A, median AC50: N/A"
CHEMBL1080574,14.7710067337,-21.1905849545,True,False,2009.0,"year: 2009, median Ki: 91.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1080694,14.2385866298,-20.8414246307,True,False,2009.0,"year: 2009, median Ki: 72.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1080729,14.4424483848,-23.3267463355,True,False,2009.0,"year: 2009, median Ki: 1.5, median IC50: 82.0, median EC50: N/A, median AC50: N/A"
CHEMBL1080741,9.22791416922,-16.0425152542,True,False,2009.0,"year: 2009, median Ki: 122.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1080899,10.0569722612,-15.9754249408,True,False,2009.0,"year: 2009, median Ki: 2.8, median IC50: 76.0, median EC50: N/A, median AC50: N/A"
CHEMBL1081074,9.40633362878,-13.603959403,True,False,2009.0,"year: 2009, median Ki: 49.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1081094,8.17388822324,-14.746701761,True,False,2009.0,"year: 2009, median Ki: 7.3, median IC50: N/A, median EC50: 31.0, median AC50: N/A"
CHEMBL1081095,14.4686947914,-18.5526039103,True,False,2009.0,"year: 2009, median Ki: 6.0, median IC50: N/A, median EC50: 56.0, median AC50: N/A"
CHEMBL1081110,11.5903904536,-19.5046262152,True,False,2009.0,"year: 2009, median Ki: 10.7, median IC50: N/A, median EC50: 73.0, median AC50: N/A"
CHEMBL1081120,15.1473674986,-21.6421265731,True,False,2009.0,"year: 2009, median Ki: 21.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1081792,10.9024557963,-18.9392738089,True,False,2009.0,"year: 2009, median Ki: 68.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1081793,11.1325670371,-17.6111058081,True,False,2009.0,"year: 2009, median Ki: 16.0, median IC50: N/A, median EC50: 203.0, median AC50: N/A"
CHEMBL1081794,12.6205146909,-19.4142100688,True,False,2009.0,"year: 2009, median Ki: 4.0, median IC50: 18.0, median EC50: N/A, median AC50: N/A"
CHEMBL1082198,13.5045661329,-19.2328296694,True,False,2009.0,"year: 2009, median Ki: 9.6, median IC50: N/A, median EC50: 38.0, median AC50: N/A"
CHEMBL1082199,11.8142374874,-19.0268359894,True,False,2009.0,"year: 2009, median Ki: 5.0, median IC50: 94.0, median EC50: N/A, median AC50: N/A"
CHEMBL1082200,15.3272434496,-20.1178930741,True,False,2009.0,"year: 2009, median Ki: 18.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082483,-41.1109924046,6.80640474401,True,False,2010.0,"year: 2010, median Ki: 79.43, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082484,-37.7341886434,8.23463812698,True,False,2010.0,"year: 2010, median Ki: 5.01, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082485,-37.1751736501,8.29761207203,True,False,2010.0,"year: 2010, median Ki: 31.62, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082494,-42.6331788371,7.19722769211,True,False,2010.0,"year: 2010, median Ki: 31.62, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082508,30.9148496244,-36.1570230927,True,False,2010.0,"year: 2010, median Ki: 0.2, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082509,30.0901670108,-35.9336313233,True,False,2010.0,"year: 2010, median Ki: 0.4, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082510,30.5751873107,-35.4448454749,True,False,2010.0,"year: 2010, median Ki: 2.51, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082761,15.8744755342,20.66995547,True,False,2010.0,"year: 2010, median Ki: 0.52, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082762,12.7781902481,26.9240619819,True,False,2010.0,"year: 2010, median Ki: 0.26, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082763,14.1231455399,23.7457359022,True,False,2010.0,"year: 2010, median Ki: 0.19, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082764,-37.023093353,8.27972624909,True,False,2010.0,"year: 2010, median Ki: 125.89, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082765,-35.9615943556,8.17646528756,True,False,2010.0,"year: 2010, median Ki: 63.1, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082766,-37.5332232421,9.61927822627,True,False,2010.0,"year: 2010, median Ki: 316.23, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082767,-36.5431125262,10.4766919548,True,False,2010.0,"year: 2010, median Ki: 316.23, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082777,28.3319053637,-39.0811235542,True,False,2010.0,"year: 2010, median Ki: 0.32, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1082818,-39.1332829256,8.91794783967,True,False,2010.0,"year: 2010, median Ki: 7.94, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083075,11.9838933386,24.8834693757,True,False,2010.0,"year: 2010, median Ki: 0.31, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083076,11.8946950538,27.2590011817,True,False,2010.0,"year: 2010, median Ki: 0.49, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083077,14.5218353921,21.9446707404,True,False,2010.0,"year: 2010, median Ki: 28.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083078,11.2013346702,22.8130154745,True,False,2010.0,"year: 2010, median Ki: 25.5, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083122,-41.1307388839,6.88422764316,True,False,2010.0,"year: 2010, median Ki: 31.62, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083173,29.6524214116,-33.7180384261,True,False,2010.0,"year: 2010, median Ki: 2.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083297,-36.3381652565,10.2566281231,True,False,2010.0,"year: 2010, median Ki: 25.12, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083298,-38.5503841015,9.21764120667,True,False,2010.0,"year: 2010, median Ki: 100.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083388,10.5053489805,23.7457477181,True,False,2010.0,"year: 2010, median Ki: 869.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083390,0.220481745982,20.5878274474,True,False,2009.0,"year: 2009, median Ki: 0.23, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083481,29.7042748473,-34.0314327516,True,False,2010.0,"year: 2010, median Ki: 31.62, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083575,31.5987598079,-35.2764104323,True,False,2010.0,"year: 2010, median Ki: 0.63, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083654,14.5780451025,21.754960371,True,False,2010.0,"year: 2010, median Ki: 0.23, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083780,31.4193887194,-36.5948273968,True,False,2010.0,"year: 2010, median Ki: 2.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083781,29.5095369361,-36.1301986255,True,False,2010.0,"year: 2010, median Ki: 0.2, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083782,30.4358197348,-32.3904468564,True,False,2010.0,"year: 2010, median Ki: 0.4, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083886,30.5412751592,-36.3380792824,True,False,2010.0,"year: 2010, median Ki: 0.13, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083909,-36.2270816745,11.3323692374,True,False,2010.0,"year: 2010, median Ki: 25.12, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084071,30.2672837546,-35.6935725738,True,False,2010.0,"year: 2010, median Ki: 0.4, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084214,-38.7740863349,9.34783272853,True,False,2010.0,"year: 2010, median Ki: 100.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084244,8.73362183071,22.2283882828,True,False,2010.0,"year: 2010, median Ki: 0.85, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084315,-41.0933428685,9.34531287654,True,False,2010.0,"year: 2010, median Ki: 1.26, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084316,-41.2957361213,7.40111967954,True,False,2010.0,"year: 2010, median Ki: 19.95, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084317,-41.1187714534,7.8968605649,True,False,2010.0,"year: 2010, median Ki: 79.43, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084335,27.8215009256,-32.5929489204,True,False,2010.0,"year: 2010, median Ki: 6.31, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084336,27.833632818,-37.9387502555,True,False,2010.0,"year: 2010, median Ki: 0.16, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084358,29.667573979,-36.8259321695,True,False,2010.0,"year: 2010, median Ki: 0.79, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084359,31.3009464916,-36.5212681426,True,False,2010.0,"year: 2010, median Ki: 3.98, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084482,-36.4526680281,10.4448643086,True,False,2010.0,"year: 2010, median Ki: 125.89, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084483,-36.9841980004,10.5177855419,True,False,2010.0,"year: 2010, median Ki: 31.62, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084603,28.4967847188,-39.1348631687,True,False,2010.0,"year: 2010, median Ki: 0.2, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084604,28.5158413536,-37.2135985451,True,False,2010.0,"year: 2010, median Ki: 0.25, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084614,-42.2829750779,9.18238511719,True,False,2010.0,"year: 2010, median Ki: 63.1, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084711,29.0162063204,-32.9752170703,True,False,2010.0,"year: 2010, median Ki: 0.13, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084793,35.1669261674,-31.8332678244,True,False,2010.0,"year: 2010, median Ki: 0.79, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084794,34.242378463,-31.5845840704,True,False,2010.0,"year: 2010, median Ki: 0.05, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084874,30.1338831468,-36.8210940793,True,False,2010.0,"year: 2010, median Ki: 1.58, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1084875,30.7703920697,-32.4551433734,True,False,2010.0,"year: 2010, median Ki: 1.58, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085036,29.0272568261,-35.9104448717,True,False,2010.0,"year: 2010, median Ki: 1.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085037,27.9617728443,-36.1895275403,True,False,2010.0,"year: 2010, median Ki: 0.13, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085038,27.9629618549,-35.842307203,True,False,2010.0,"year: 2010, median Ki: 0.25, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085111,34.3085734011,-35.1904881766,True,False,2010.0,"year: 2010, median Ki: 0.32, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085112,34.344914596,-36.3046369285,True,False,2010.0,"year: 2010, median Ki: 25.12, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085113,32.8640474669,-36.4816924783,True,False,2010.0,"year: 2010, median Ki: 0.63, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085115,33.1842235476,-34.4256741748,True,False,2010.0,"year: 2010, median Ki: 3.98, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085120,29.710999352,-36.8772432628,True,False,2010.0,"year: 2010, median Ki: 0.1, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085351,-36.8531435382,10.2431638174,True,False,2010.0,"year: 2010, median Ki: 25.12, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085352,-38.0559670649,10.7474351956,True,False,2010.0,"year: 2010, median Ki: 31.62, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085353,-36.8653977792,10.3701922016,True,False,2010.0,"year: 2010, median Ki: 50.12, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085354,-37.8933962435,8.60720645235,True,False,2010.0,"year: 2010, median Ki: 316.23, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085361,-41.5863202851,8.48037554456,True,False,2010.0,"year: 2010, median Ki: 158.49, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085362,-41.5347394521,8.64671644961,True,False,2010.0,"year: 2010, median Ki: 79.43, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085368,33.6098801673,-33.977269231,True,False,2010.0,"year: 2010, median Ki: 0.5, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085372,35.3311804424,-33.361598528,True,False,2010.0,"year: 2010, median Ki: 0.32, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085409,30.9599978249,-37.7343120586,True,False,2010.0,"year: 2010, median Ki: 15.85, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085462,34.3169421988,-34.9755378454,True,False,2010.0,"year: 2010, median Ki: 0.06, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085585,29.7183322847,-36.2850220734,True,False,2010.0,"year: 2010, median Ki: 0.16, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085608,-42.0421501285,9.22126555654,True,False,2010.0,"year: 2010, median Ki: 7.94, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085617,35.3592634298,-34.2095457538,True,False,2010.0,"year: 2010, median Ki: 0.16, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085618,34.3668975537,-32.6439210105,True,False,2010.0,"year: 2010, median Ki: 7.94, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085619,34.9612547485,-32.1617183866,True,False,2010.0,"year: 2010, median Ki: 2.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085651,30.0634694148,-37.9146014734,True,False,2010.0,"year: 2010, median Ki: 0.63, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085658,28.0882592183,-32.6332191064,True,False,2010.0,"year: 2010, median Ki: 0.1, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085835,-40.4286643914,7.8960519838,True,False,2010.0,"year: 2010, median Ki: 25.12, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085836,-42.6158177655,7.7523344889,True,False,2010.0,"year: 2010, median Ki: 50.12, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085852,30.5140547879,-34.041897084,True,False,2010.0,"year: 2010, median Ki: 39.81, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085879,28.5029334209,-32.1953988231,True,False,2010.0,"year: 2010, median Ki: 31.62, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1085965,-36.1998814515,10.3700978279,True,False,2010.0,"year: 2010, median Ki: 19.95, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086079,36.3544557005,-35.8008807759,True,False,2010.0,"year: 2010, median Ki: 0.16, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086080,32.5024111853,-36.1299893562,True,False,2010.0,"year: 2010, median Ki: 0.63, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086113,27.9073096322,-34.3880420313,True,False,2010.0,"year: 2010, median Ki: 0.1, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086114,30.8691536984,-37.5494316554,True,False,2010.0,"year: 2010, median Ki: 5.01, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086251,33.2047341788,-31.3702815851,True,False,2010.0,"year: 2010, median Ki: 5.01, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086252,29.3808394314,-35.7155521504,True,False,2010.0,"year: 2010, median Ki: 0.1, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086253,30.6191132617,-33.8311337635,True,False,2010.0,"year: 2010, median Ki: 1.26, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086323,34.3619604562,-33.0639641597,True,False,2010.0,"year: 2010, median Ki: 0.16, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086324,34.280334183,-32.0432872913,True,False,2010.0,"year: 2010, median Ki: 0.25, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086325,33.7195695021,-32.5832507812,True,False,2010.0,"year: 2010, median Ki: 0.4, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086326,32.3770970764,-32.7551950213,True,False,2010.0,"year: 2010, median Ki: 0.08, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086476,27.6536479808,-36.0852795852,True,False,2010.0,"year: 2010, median Ki: 1.26, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086477,30.4676229243,-36.4319941899,True,False,2010.0,"year: 2010, median Ki: 0.32, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086546,36.2479295414,-32.3826872912,True,False,2010.0,"year: 2010, median Ki: 158.49, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086572,30.8947692436,-33.6959333578,True,False,2010.0,"year: 2010, median Ki: 3.98, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086573,29.5069156116,-34.0898216737,True,False,2010.0,"year: 2010, median Ki: 1.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1086719,9.97663252878,-18.6787757429,True,False,2009.0,"year: 2009, median Ki: 1.3, median IC50: 17.0, median EC50: N/A, median AC50: N/A"
CHEMBL1086720,14.0143908149,-20.2671271526,True,False,2009.0,"year: 2009, median Ki: 4.6, median IC50: 80.0, median EC50: N/A, median AC50: N/A"
CHEMBL1086754,15.3384640584,-34.6542000467,True,False,2009.0,"year: 2009, median Ki: N/A, median IC50: 713.0, median EC50: N/A, median AC50: N/A"
CHEMBL1091206,14.3813182866,19.1163441508,True,False,2010.0,"year: 2010, median Ki: 0.46, median IC50: 6.0, median EC50: N/A, median AC50: N/A"
CHEMBL1091207,13.4794631439,20.5637746618,True,False,2010.0,"year: 2010, median Ki: 0.55, median IC50: 7.5, median EC50: N/A, median AC50: N/A"
CHEMBL1091208,16.6772632141,21.4601594566,True,False,2010.0,"year: 2010, median Ki: 7.97, median IC50: 98.5, median EC50: N/A, median AC50: N/A"
CHEMBL1091919,11.4631264979,22.8875213465,True,False,2010.0,"year: 2010, median Ki: 0.44, median IC50: 11.4, median EC50: N/A, median AC50: N/A"
CHEMBL1092241,11.7895554512,22.3791429567,True,False,2010.0,"year: 2010, median Ki: 0.68, median IC50: 7.8, median EC50: N/A, median AC50: N/A"
CHEMBL1094370,14.2226773763,-21.0413098376,True,False,2009.0,"year: 2009, median Ki: 3.2, median IC50: N/A, median EC50: 125.0, median AC50: N/A"
CHEMBL1098894,5.05337231164,-11.4271087975,True,False,2009.0,"year: 2009, median Ki: N/A, median IC50: 85.0, median EC50: N/A, median AC50: N/A"
CHEMBL1112,-20.8439286015,12.9730181699,True,True,2007.0,"year: 2007, median Ki: 386.76, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL111943,-42.3628020801,29.7161918077,True,False,2003.0,"year: 2003, median Ki: 23.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL112024,-38.5709063297,26.0394329242,True,False,2001.0,"year: 2001, median Ki: 23.5, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL112285,-40.4483737378,30.0075106076,True,False,2003.0,"year: 2003, median Ki: 43.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL112296,-37.8059640733,22.0416777449,True,False,2003.0,"year: 2003, median Ki: 0.6, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL113956,6.16515975015,-44.5497659202,True,False,2001.0,"year: 2001, median Ki: N/A, median IC50: 800.0, median EC50: N/A, median AC50: N/A"
CHEMBL114048,-43.2588547326,30.3815659516,True,False,2003.0,"year: 2003, median Ki: 3.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL116463,4.73253143036,-43.5540691463,True,False,2001.0,"year: 2001, median Ki: N/A, median IC50: 427.0, median EC50: N/A, median AC50: N/A"
CHEMBL1169706,-21.1436874947,-46.8533849214,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 290.0, median EC50: N/A, median AC50: N/A"
CHEMBL1169707,-11.7549396989,-44.423955645,True,False,2010.0,"year: 2010, median Ki: 2.3, median IC50: 87.5, median EC50: N/A, median AC50: N/A"
CHEMBL1169708,-21.3060740303,-43.1802068952,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 260.0, median EC50: N/A, median AC50: N/A"
CHEMBL1169709,-23.1281432155,-42.5807755121,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 580.0, median EC50: N/A, median AC50: N/A"
CHEMBL1169724,-18.8830704822,-41.6815906941,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 120.0, median EC50: N/A, median AC50: N/A"
CHEMBL1169894,-11.8691332409,-36.7787969763,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 820.0, median EC50: N/A, median AC50: N/A"
CHEMBL1169899,-13.365189225,-46.3390810494,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 300.0, median EC50: N/A, median AC50: N/A"
CHEMBL1169903,-15.5609765611,-40.3375637191,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 600.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170069,-13.7258919066,-37.4987220721,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 730.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170086,-17.6016327243,-38.0755946299,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 37.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170087,-12.6162504193,-37.3701825724,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 350.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170091,-16.8528887575,-38.3182034796,True,False,2010.0,"year: 2010, median Ki: 30.2, median IC50: 217.5, median EC50: N/A, median AC50: N/A"
CHEMBL1170092,-17.9045805935,-42.9468435458,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 69.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170093,-17.6610989881,-44.0022211671,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 190.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170098,-17.5184950367,-37.6906685163,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 180.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170099,-17.4616623203,-38.0748463878,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 280.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170100,-14.5160443438,-46.7122617135,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 570.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170271,-15.5748613652,-40.416915405,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 820.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170275,-16.752423546,-44.4282063079,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 260.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170279,-19.2460803411,-34.9529757151,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 590.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170281,-18.4614918923,-34.4839249793,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 590.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170282,-23.8604131677,-42.2726684903,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 780.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170288,-16.8540660109,-36.2441111944,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 900.0, median EC50: N/A, median AC50: N/A"
CHEMBL1170463,-19.6860128622,-35.6898608585,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 1000.0, median EC50: N/A, median AC50: N/A"
