,x,y,in_dataset,in_drugbank,year,extra_tooltip
CHEMBL100088,0.0969905047075,10.4517332686,True,False,1999.0,"year: 1999, median Ki: 108.4, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100199,-2.5693065361,12.8933321837,True,False,1999.0,"year: 1999, median Ki: 16.9, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL100313,-1.36666112834,13.2274536948,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: 1000.0, median EC50: N/A, median AC50: N/A"
CHEMBL100317,-1.96011704947,9.60524395661,True,False,1999.0,"year: 1999, median Ki: 103.6, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL103479,1.93750412754,4.63632742627,True,False,2003.0,"year: 2003, median Ki: 4000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL105261,3.4913345484,3.91608251305,True,False,2003.0,"year: 2003, median Ki: 2400.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1083787,5.95628454395,-9.98267108753,True,False,2010.0,"year: 2010, median Ki: 6000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL114112,-7.33252716675,0.445740855337,True,False,2010.0,"year: 2010, median Ki: 1.2, median IC50: N/A, median EC50: 12.59, median AC50: N/A"
CHEMBL1162955,-22.6890164362,9.80317219367,True,False,2007.0,"year: 2007, median Ki: 15.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1163015,-17.9765452286,1.38451205371,True,False,2009.0,"year: 2009, median Ki: N/A, median IC50: 10000.0, median EC50: N/A, median AC50: N/A"
CHEMBL116448,19.7357487076,-4.30301911967,True,False,2000.0,"year: 2000, median Ki: 6309.57, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL116913,-24.4745811597,-3.41720272152,True,False,2003.0,"year: 2003, median Ki: 29.7, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL117287,-25.1182134338,-0.837103797893,True,False,2003.0,"year: 2003, median Ki: 110.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1179716,-3.03985861863,9.35403085208,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1179748,-1.20148220702,9.50102211641,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1179774,-3.62966074444,9.29255873478,True,False,1999.0,"year: 1999, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1181946,-19.22423402,-1.70385430996,True,False,2006.0,"year: 2006, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1188501,1.88125232807,25.4902208989,True,False,2013.0,"year: 2013, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL120216,17.480244467,-7.88363172232,True,False,1997.0,"year: 1997, median Ki: N/A, median IC50: 10000.0, median EC50: N/A, median AC50: N/A"
CHEMBL121766,8.4231396045,22.1639084199,True,False,2000.0,"year: 2000, median Ki: 64.0, median IC50: 64.0, median EC50: N/A, median AC50: N/A"
CHEMBL121776,10.0875802433,19.8794423166,True,False,2000.0,"year: 2000, median Ki: 1.4, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL121913,8.90092428156,20.4480586076,True,False,2000.0,"year: 2000, median Ki: 3.5, median IC50: N/A, median EC50: 35.25, median AC50: N/A"
CHEMBL12264,18.5878484073,-1.82003540781,True,False,1998.0,"year: 1998, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL122818,9.08219442363,15.5298689111,True,False,2000.0,"year: 2000, median Ki: 23.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL122914,9.2776699151,21.0263853837,True,False,2000.0,"year: 2000, median Ki: 3.5, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL122973,8.17845061811,22.6749819461,True,False,2000.0,"year: 2000, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL123377,9.00940550398,22.2458819004,True,False,1997.0,"year: 1997, median Ki: 23.0, median IC50: 100.0, median EC50: N/A, median AC50: N/A"
CHEMBL1242923,-2.58473071326,20.6193174334,True,False,2010.0,"year: 2010, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1242950,-14.3788820729,-7.37490466062,True,False,2010.0,"year: 2010, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL124485,9.22896775194,22.2533340692,True,False,2000.0,"year: 2000, median Ki: 715.0, median IC50: 715.0, median EC50: N/A, median AC50: N/A"
CHEMBL125005,7.29536379041,18.9207936351,True,False,2000.0,"year: 2000, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1255606,-6.70393187683,1.11433375302,True,False,2010.0,"year: 2010, median Ki: 7.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1255781,-3.05759405871,-5.05336507964,True,False,1997.0,"year: 1997, median Ki: 1.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL125670,8.79239217745,22.4231996839,True,False,2000.0,"year: 2000, median Ki: 296.0, median IC50: 296.0, median EC50: N/A, median AC50: N/A"
CHEMBL125716,7.81134641998,21.1787771794,True,False,2000.0,"year: 2000, median Ki: 9.8, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1257991,-7.46942941849,0.914695233861,True,False,2010.0,"year: 2010, median Ki: 1.4, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1258108,-7.98828198232,0.295779477154,True,False,2010.0,"year: 2010, median Ki: 16.73, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1258109,-7.91423257518,0.285920806892,True,False,2010.0,"year: 2010, median Ki: 9.1, median IC50: N/A, median EC50: 8.91, median AC50: N/A"
CHEMBL1258222,-7.28855205884,0.892480857857,True,False,2010.0,"year: 2010, median Ki: 6.3, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1258223,-8.22763242709,0.401891213636,True,False,2010.0,"year: 2010, median Ki: 1.29, median IC50: N/A, median EC50: 14.13, median AC50: N/A"
CHEMBL1258338,-7.72987338675,-0.0701230737945,True,False,2010.0,"year: 2010, median Ki: 4.5, median IC50: N/A, median EC50: 10.0, median AC50: N/A"
CHEMBL1258339,-7.54771733602,-0.0591659126685,True,False,2010.0,"year: 2010, median Ki: 7.4, median IC50: N/A, median EC50: 19.95, median AC50: N/A"
CHEMBL1258450,-8.00913194781,-0.110041192271,True,False,2010.0,"year: 2010, median Ki: 37.0, median IC50: N/A, median EC50: 15.85, median AC50: N/A"
CHEMBL1258451,-6.39786538417,2.93309605571,True,False,2010.0,"year: 2010, median Ki: 50.0, median IC50: N/A, median EC50: 0.18, median AC50: N/A"
CHEMBL1258452,-7.80413822531,3.86893984148,True,False,2010.0,"year: 2010, median Ki: 1.57, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1258559,-8.25988412257,3.96878068035,True,False,2010.0,"year: 2010, median Ki: 8664.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1258560,-7.54909896123,3.00575958743,True,False,2010.0,"year: 2010, median Ki: 8.95, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1258561,-6.71217854008,2.84891191028,True,False,2010.0,"year: 2010, median Ki: 12.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1258671,-7.30931404903,0.840438219296,True,False,2010.0,"year: 2010, median Ki: 1.22, median IC50: N/A, median EC50: 5.89, median AC50: N/A"
CHEMBL1258672,-7.60606715623,2.88557689113,True,False,2010.0,"year: 2010, median Ki: 8.67, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1258786,-7.65713559869,2.6875795446,True,False,2010.0,"year: 2010, median Ki: 5.61, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL125926,7.87292165697,21.1760053939,True,False,2000.0,"year: 2000, median Ki: 9.2, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL126098,9.06564849148,15.5198932452,True,False,2000.0,"year: 2000, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL12624,19.1493018635,-1.92719217254,True,False,2000.0,"year: 2000, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1275709,-2.10598947232,-1.55798639918,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 30000.0, median EC50: N/A, median AC50: N/A"
CHEMBL1275791,-0.868654497738,-2.11541893224,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 30000.0, median EC50: N/A, median AC50: N/A"
CHEMBL1278088,10.6270324432,-8.62963430334,True,False,2010.0,"year: 2010, median Ki: N/A, median IC50: 1000.0, median EC50: N/A, median AC50: N/A"
CHEMBL127876,9.18237573909,22.5359738253,True,False,2000.0,"year: 2000, median Ki: 162.0, median IC50: 162.0, median EC50: N/A, median AC50: N/A"
CHEMBL1290804,12.6879448421,-12.2899472556,True,False,2010.0,"year: 2010, median Ki: 891.25, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1290805,13.2373164654,-12.1946480326,True,False,2010.0,"year: 2010, median Ki: 128.82, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL130040,-5.65289068843,0.309464893459,True,False,1993.0,"year: 1993, median Ki: N/A, median IC50: 6.31, median EC50: N/A, median AC50: N/A"
CHEMBL130118,-6.50667104591,-0.593921176493,True,False,1993.0,"year: 1993, median Ki: N/A, median IC50: 50.12, median EC50: N/A, median AC50: N/A"
CHEMBL130809,-19.7973372982,-5.10155438618,True,False,1993.0,"year: 1993, median Ki: N/A, median IC50: 10.0, median EC50: N/A, median AC50: N/A"
CHEMBL132826,-6.08922712311,-1.1216178936,True,False,1993.0,"year: 1993, median Ki: N/A, median IC50: 63.1, median EC50: N/A, median AC50: N/A"
CHEMBL133455,0.929863741249,-1.42360983751,True,False,2003.0,"year: 2003, median Ki: 1700.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL133868,1.61702702914,0.350142571005,True,False,2003.0,"year: 2003, median Ki: 1800.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL136108,16.9331806814,-7.38570845742,True,False,1999.0,"year: 1999, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL136978,16.1410156119,-8.25795714491,True,False,1999.0,"year: 1999, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL137621,16.4995014683,-9.5707585525,True,False,1999.0,"year: 1999, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL142490,-5.11752794437,-5.24256139066,True,False,1995.0,"year: 1995, median Ki: N/A, median IC50: 0.1, median EC50: N/A, median AC50: N/A"
CHEMBL142621,-3.36430260242,-15.1525041444,True,False,1995.0,"year: 1995, median Ki: N/A, median IC50: 7.94, median EC50: N/A, median AC50: N/A"
CHEMBL143426,-1.24826574696,-4.5219604207,True,False,1995.0,"year: 1995, median Ki: 2.51, median IC50: 0.5, median EC50: N/A, median AC50: N/A"
CHEMBL143862,-6.2999380057,-8.8214979894,True,False,1995.0,"year: 1995, median Ki: 0.2, median IC50: 0.16, median EC50: N/A, median AC50: N/A"
CHEMBL144113,-12.3271254447,13.960101045,True,False,1999.0,"year: 1999, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL145075,-5.00382254337,-6.50222168309,True,False,1995.0,"year: 1995, median Ki: 0.08, median IC50: 0.1, median EC50: N/A, median AC50: N/A"
CHEMBL146012,-15.1236348948,18.6575003544,True,False,1999.0,"year: 1999, median Ki: 205.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL146068,-17.0056398374,19.563066323,True,False,1999.0,"year: 1999, median Ki: 779.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL146368,-14.6060785392,19.7342255084,True,False,1999.0,"year: 1999, median Ki: 270.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL146386,-5.11971333622,-16.1866372913,True,False,1995.0,"year: 1995, median Ki: N/A, median IC50: 199.53, median EC50: N/A, median AC50: N/A"
CHEMBL147549,-15.2917427,19.0679652297,True,False,1999.0,"year: 1999, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL147725,-13.5336038296,17.7973284506,True,False,1999.0,"year: 1999, median Ki: 319.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL147827,-12.6897815582,14.7400269452,True,False,1999.0,"year: 1999, median Ki: 356.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL148072,-16.485002687,19.3825520132,True,False,1999.0,"year: 1999, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL148080,-14.6059354516,19.7338907811,True,False,1999.0,"year: 1999, median Ki: 38.3, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL149558,-15.1236341032,18.6575005936,True,False,1999.0,"year: 1999, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL150155,-13.9464256946,15.1274502727,True,False,1999.0,"year: 1999, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL150214,-14.0966333862,16.3589378893,True,False,1999.0,"year: 1999, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL154274,15.0632757257,15.5530408767,True,False,2001.0,"year: 2001, median Ki: 3162.28, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1550957,4.69362048101,-2.49580690701,True,False,2012.0,"year: 2012, median Ki: N/A, median IC50: 1000.0, median EC50: N/A, median AC50: N/A"
CHEMBL155631,8.25272134954,17.9044108369,True,False,1997.0,"year: 1997, median Ki: 6.2, median IC50: N/A, median EC50: 17.0, median AC50: N/A"
CHEMBL155682,4.220616938,18.2795360951,True,False,1997.0,"year: 1997, median Ki: 1.72, median IC50: 150.0, median EC50: N/A, median AC50: N/A"
CHEMBL15585,-22.554301878,-4.34150418034,True,False,2003.0,"year: 2003, median Ki: N/A, median IC50: N/A, median EC50: 125.89, median AC50: N/A"
CHEMBL155917,5.4926644588,18.1041577838,True,False,1997.0,"year: 1997, median Ki: 1.29, median IC50: 12.0, median EC50: N/A, median AC50: N/A"
CHEMBL156088,7.8727122855,17.2056357054,True,False,1997.0,"year: 1997, median Ki: 6.03, median IC50: 20.0, median EC50: 5.3, median AC50: N/A"
CHEMBL156206,-7.25471221925,17.6140574497,True,False,2003.0,"year: 2003, median Ki: 183.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL156348,-18.8284807069,10.9645789923,True,False,1997.0,"year: 1997, median Ki: 1.05, median IC50: N/A, median EC50: 13.0, median AC50: N/A"
CHEMBL156349,5.1938693079,18.3000519889,True,False,1997.0,"year: 1997, median Ki: 0.93, median IC50: N/A, median EC50: 15.0, median AC50: N/A"
CHEMBL156499,-20.9903211611,-4.08964750665,True,False,1997.0,"year: 1997, median Ki: 1000.0, median IC50: 1000.0, median EC50: 1000.0, median AC50: N/A"
CHEMBL156554,-16.0946694487,8.919374754,True,False,1997.0,"year: 1997, median Ki: 1.43, median IC50: N/A, median EC50: 19.0, median AC50: N/A"
CHEMBL156579,7.22336850567,17.3602940724,True,False,1997.0,"year: 1997, median Ki: 9.1, median IC50: N/A, median EC50: 29.0, median AC50: N/A"
CHEMBL156965,5.1457290374,15.651961302,True,False,1997.0,"year: 1997, median Ki: 9.3, median IC50: N/A, median EC50: 40.0, median AC50: N/A"
CHEMBL156970,2.77804935987,13.7534764901,True,False,1997.0,"year: 1997, median Ki: 5.35, median IC50: 200.0, median EC50: 40.0, median AC50: N/A"
CHEMBL157233,5.73100115858,17.1276582599,True,False,1997.0,"year: 1997, median Ki: 39.5, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL157631,6.87483725559,18.5693677456,True,False,1997.0,"year: 1997, median Ki: 35.6, median IC50: N/A, median EC50: 113.0, median AC50: N/A"
CHEMBL157880,5.05236737812,19.6088318661,True,False,1997.0,"year: 1997, median Ki: 2.0, median IC50: N/A, median EC50: 5.0, median AC50: N/A"
CHEMBL157910,14.9851686163,14.3860851165,True,False,2001.0,"year: 2001, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL158147,5.72687205879,18.2316108096,True,False,1997.0,"year: 1997, median Ki: 5.45, median IC50: N/A, median EC50: 7.8, median AC50: N/A"
CHEMBL158238,4.7839728515,18.6591991678,True,False,1997.0,"year: 1997, median Ki: 4.08, median IC50: N/A, median EC50: 3.0, median AC50: N/A"
CHEMBL15928,9.85196487965,9.54804841025,True,False,1994.0,"year: 1994, median Ki: 10000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL159825,-21.596587583,-5.93317626946,True,False,2003.0,"year: 2003, median Ki: 40.4, median IC50: N/A, median EC50: 80.55, median AC50: N/A"
CHEMBL160237,5.11523795973,20.6834070586,True,False,1997.0,"year: 1997, median Ki: 7.64, median IC50: 100.0, median EC50: N/A, median AC50: N/A"
CHEMBL160705,7.31681349437,17.6133430063,True,False,1997.0,"year: 1997, median Ki: 47.0, median IC50: 600.0, median EC50: 180.0, median AC50: N/A"
CHEMBL1632154,-3.24564937577,-5.45102380446,True,False,2009.0,"year: 2009, median Ki: 0.81, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632155,-6.08213883954,-16.5257150074,True,False,2009.0,"year: 2009, median Ki: 107.15, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632156,-5.46182080016,-16.6927513338,True,False,2009.0,"year: 2009, median Ki: 3630.78, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632157,-1.69839201752,-13.442902961,True,False,2009.0,"year: 2009, median Ki: 0.1, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632158,-0.906521070079,-14.3521907618,True,False,2009.0,"year: 2009, median Ki: 0.11, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632159,-0.86644127991,-14.3102924635,True,False,2009.0,"year: 2009, median Ki: 0.2, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632160,-0.870610232159,-14.291806246,True,False,2009.0,"year: 2009, median Ki: 0.34, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632161,-2.42043304924,-13.3070424948,True,False,2009.0,"year: 2009, median Ki: 0.76, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632162,-1.77000250964,-13.4021546841,True,False,2009.0,"year: 2009, median Ki: 0.23, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632163,-1.26569157055,-13.7911156867,True,False,2009.0,"year: 2009, median Ki: 0.05, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632164,-3.78742395478,-14.8741416358,True,False,2009.0,"year: 2009, median Ki: 1.26, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632165,-1.18347686206,-12.9513758628,True,False,2009.0,"year: 2009, median Ki: 0.04, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632166,-0.839531955803,-13.1509137794,True,False,2009.0,"year: 2009, median Ki: 0.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632167,-0.79051735608,-13.2331834233,True,False,2009.0,"year: 2009, median Ki: 0.14, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632168,-3.12642454547,-11.7194502709,True,False,2009.0,"year: 2009, median Ki: 0.34, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632169,-0.408953428527,-14.0136686867,True,False,2009.0,"year: 2009, median Ki: 0.06, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632170,-3.03321051554,-13.8804539743,True,False,2009.0,"year: 2009, median Ki: 2.82, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632171,-2.78634918574,-14.5101677066,True,False,2009.0,"year: 2009, median Ki: 1.12, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632172,-2.66680091628,-14.8746135135,True,False,2009.0,"year: 2009, median Ki: 2.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632173,-1.9054112204,-15.1927834421,True,False,2009.0,"year: 2009, median Ki: 2.04, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632174,-2.55119849286,-15.4744698426,True,False,2009.0,"year: 2009, median Ki: 1.55, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632175,-2.00780531172,-14.9591322005,True,False,2009.0,"year: 2009, median Ki: 2.45, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1632176,-4.88481743925,-12.3402351369,True,False,2009.0,"year: 2009, median Ki: 5.01, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL163519,-21.9240379949,-2.18148432911,True,False,2003.0,"year: 2003, median Ki: N/A, median IC50: 1000.0, median EC50: N/A, median AC50: N/A"
CHEMBL164169,-22.0422261098,-2.8996238343,True,False,2003.0,"year: 2003, median Ki: 233.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL164425,-23.1990120585,-3.6933446713,True,False,2003.0,"year: 2003, median Ki: 832.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL172074,-25.1046496512,-8.50765536846,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 3.99, median EC50: N/A, median AC50: N/A"
CHEMBL172314,-24.1108266584,-8.51060865595,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 9.3, median EC50: N/A, median AC50: N/A"
CHEMBL172802,-23.9290224919,-9.22193339078,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 2.57, median EC50: N/A, median AC50: N/A"
CHEMBL172899,-23.9742622929,-9.05306903516,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 5.06, median EC50: N/A, median AC50: N/A"
CHEMBL1729,-16.6063488958,-1.21975283783,True,True,2003.0,"year: 2003, median Ki: 23.0, median IC50: 273.0, median EC50: 54.85, median AC50: N/A"
CHEMBL173089,-25.0931222799,-8.48746669448,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 3.91, median EC50: N/A, median AC50: N/A"
CHEMBL174284,-23.9448713137,-9.12437536168,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 2.53, median EC50: N/A, median AC50: N/A"
CHEMBL174524,-24.6605187769,-8.42735243147,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 9.5, median EC50: N/A, median AC50: N/A"
CHEMBL1748,-23.6162667476,-2.60507469085,True,False,2009.0,"year: 2009, median Ki: N/A, median IC50: 19.0, median EC50: 290.0, median AC50: N/A"
CHEMBL174935,-22.6681510887,-7.09940084125,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 13.4, median EC50: N/A, median AC50: N/A"
CHEMBL176672,-19.9400508938,-6.93728691906,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 40.6, median EC50: N/A, median AC50: N/A"
CHEMBL177573,-22.4653341271,-5.80209697691,True,False,2002.0,"year: 2002, median Ki: N/A, median IC50: 11.2, median EC50: N/A, median AC50: N/A"
CHEMBL178285,-10.5755915058,-17.3567264777,True,False,2004.0,"year: 2004, median Ki: 0.13, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL178669,-11.0904560571,-18.0735339325,True,False,2004.0,"year: 2004, median Ki: 0.13, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL179799,-11.6224338619,-17.0845360526,True,False,2004.0,"year: 2004, median Ki: 0.32, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL179833,-11.7967105348,-17.1977091243,True,False,2004.0,"year: 2004, median Ki: 0.13, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL180201,-10.4122573318,-16.5770335382,True,False,2004.0,"year: 2004, median Ki: 0.06, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL180632,-11.959995016,-16.6045412429,True,False,2004.0,"year: 2004, median Ki: 0.25, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL180680,-12.3949637628,-17.8644376595,True,False,2004.0,"year: 2004, median Ki: 0.05, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL180697,-11.5917579753,-17.0952921609,True,False,2004.0,"year: 2004, median Ki: 0.16, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL180830,-10.7956446136,-18.3645156937,True,False,2004.0,"year: 2004, median Ki: 0.1, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL180835,-11.7229321854,-16.1610315262,True,False,2004.0,"year: 2004, median Ki: 0.02, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL181126,-11.4684484169,-16.4069762488,True,False,2004.0,"year: 2004, median Ki: 0.03, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL181202,-11.3842517862,-15.8299584368,True,False,2004.0,"year: 2004, median Ki: 0.03, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL181415,-12.5608446636,-16.0496965741,True,False,2004.0,"year: 2004, median Ki: 0.16, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL181928,-10.6556852364,-17.0252206374,True,False,2004.0,"year: 2004, median Ki: 0.2, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL182590,-10.1413240509,-15.8048565754,True,False,2004.0,"year: 2004, median Ki: 0.79, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL18274,-16.6936365253,17.0073490593,True,False,1999.0,"year: 1999, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL182999,-11.7190827723,-16.0322424789,True,False,2004.0,"year: 2004, median Ki: 0.03, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL18473,-15.9001374353,16.1397016877,True,False,2001.0,"year: 2001, median Ki: 719.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL18769,-14.7543960935,16.1473617045,True,False,2001.0,"year: 2001, median Ki: 54.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL18772,11.1438113643,-8.46394282556,True,False,1997.0,"year: 1997, median Ki: 10000.0, median IC50: 10000.0, median EC50: N/A, median AC50: N/A"
CHEMBL189580,-20.9689604324,7.45021340528,True,False,2005.0,"year: 2005, median Ki: 16.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL19006,-16.3610406033,18.9534935723,True,False,1999.0,"year: 1999, median Ki: 168.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL19022,-16.98304042,14.0882431756,True,False,1999.0,"year: 1999, median Ki: 167.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL19039,-12.6863755218,14.7480716542,True,False,1999.0,"year: 1999, median Ki: 1000.0, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL194305,3.60204298811,3.76016151121,True,False,2005.0,"year: 2005, median Ki: N/A, median IC50: 9800.0, median EC50: N/A, median AC50: N/A"
CHEMBL1962454,22.7097868428,9.92324757108,True,False,2011.0,"year: 2011, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
CHEMBL1962455,22.7893525471,9.66304334151,True,False,2011.0,"year: 2011, median Ki: N/A, median IC50: N/A, median EC50: N/A, median AC50: N/A"
